region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value
10000006,Wicked Creek,22297862984228.14,20019968757.4606,22471482028698.617,19962060993.9371,261003461599.0,112075750819.33,399743627144.0584,57560478514.72
10000068,Verge Vendor,61981363558374.68,77332744286.5948,60470315116213.695,74947655116.9614,109936998912.0,198827336740.9,763871611516.968,2893116630861.02
10000015,Venal,35309909954053.79,38312919569.327896,38055265092657.47,59148986000.4174,698884930125.0,744331875938.39,112949585876.3446,206185084348.05997
10000003,Vale of the Silent,82283365726339.08,91804441640.8381,81799743122676.89,96516424546.8029,2328519782378.0,1355588281467.01,7957680976696.183,4855253619225.7
10000010,Tribute,46031216190747.2,70346174374.7887,52020218224177.41,62466220809.9384,863723364358.0,420858782380.88,1887131692577.0955,20626705556.3
10000018,The Spire,8988168518458.86,13293693777.363699,8778490158583.197,12898214362.5927,204744939211.0,65099650912.65,227085256916.67,2133677907.0
10000034,The Kalevala Expanse,126382818357698.86,145451103062.14252,106121901135091.31,115724257732.21089,1843049444777.0,878391009724.85,2616985789134.888,5950277501675.231
10000002,The Forge,460540297821545.7,530274520612.4101,512165841241973.75,534451552014.3833,430346733055.0,1653072390312.69,16877354237156.875,383805229894366.4
10000033,The Citadel,396768987030555.56,487364063877.8294,384529937755717.1,487988737184.6204,339952016390.0,1662047675764.14,7411145363414.608,3614702356445.0103
10000038,The Bleak Lands,29286829275506.816,26621751398.2839,25666034327500.285,23941737911.5246,34338103213.0,262073809710.72,321373437156.6003,92454043121.3
10000061,Tenerifis,23465231717239.473,34232977290.0271,21257778940607.94,28728603317.6921,332499306649.0,403753528742.59,34460139136.6388,26947628542.11
10000045,Tenal,8786824293804.957,5437673946.646501,6466802477594.714,5090461916.773001,285285903898.0,77858661709.24,259423147.2928,0.0
10000020,Tash-Murkon,66401289032866.65,89595783330.1774,90729486225559.52,89050621892.2497,232017794790.0,219558812462.61,865828710076.0898,2842238117196.621
10000041,Syndicate,26861641153812.24,28953595105.8565,19589148739123.887,19963049100.1678,110521176069.0,370073595699.54,735884002776.1301,401614723673.6299
10000022,Stain,15295305082950.244,12622060356.998499,14530098302924.684,11133524500.5335,238543845557.0,291527582625.06,398229200422.6853,102314318224.30998
10000044,Solitude,20141592160166.074,16063128246.8595,19619899702648.406,15160503584.768501,47058870815.0,133033751690.64,120421977066.7821,127412606761.12001
10000032,Sinq Laison,286983043083258.75,330640806360.3353,278919349671642.3,331931025332.5542,353877449418.0,1182792724298.95,3708454064915.597,14269709259299.611
10000008,Scalding Pass,23689344467277.65,17442354452.314,21517231407225.816,17822336729.361,223814425042.0,187230389925.75,724624513424.1617,95271237082.55998
10000050,Querious,115903821552191.89,110041006180.1344,107020598436961.03,114269352962.7749,930995259593.0,387020195939.39,659439534280.272,42279947006.09999
10000023,Pure Blind,31950304710517.22,28417895923.5732,31019489993856.688,25317524131.117,639629904734.0,695307439377.69,1607775423715.9026,818015001220.33
10000047,Providence,32186236478531.523,31376542692.8487,22275657825363.207,24742290868.5917,487298515261.0,324109788708.95,1577086705461.028,154342551996.49
10000070,Pochven,23195595573609.47,5847778614.5536,26707754083811.875,8187336281.1738,891920253.0,1402870700121.48,14942422017.4495,80154858900.41002
10000048,Placid,63654904950349.2,65199820498.097,65608657098697.336,72869779735.9265,67578478374.0,599163134837.52,2727420406161.284,940169007806.4498
10000066,Perrigen Falls,88409559970988.17,104778432596.0484,155263466405168.62,178681791321.5238,595903580134.0,254228375484.47,493202570319.1325,54196106491.53
10000063,Period Basis,60055752607181.71,60139020999.49911,65234630401039.02,58682771327.5533,583974170510.0,213402312081.26,37730363579.3578,7039232501.5
10000059,Paragon Soul,53787044807991.83,49387370414.6554,17767019891743.426,35560757645.8524,222162495823.0,120324335921.62,365437856697.013,56842239620.37
10000057,Outer Ring,9097194041661.75,6535631386.7953005,6138682599937.058,6312299550.941299,37866709058.0,56458931395.2,39428632677.3028,916268176036.4001
10000021,Outer Passage,57509631824555.8,41235720589.0956,11955686681392.803,10917925263.9339,882235375902.0,389850343739.43,1233889390949.2097,993925588068.3398
10000062,Omist,3416090944267.465,2663844924.3405,3758270858212.1094,2957170090.755,414924168253.0,162285310877.22,23993637088.6647,12994551009.0
10000040,Oasa,17800299426749.043,11653287158.6922,13642052048410.809,9396303544.0007,786100299036.0,233703960849.55,380692525428.3631,224588429319.28992
10000028,Molden Heath,39815401614945.45,36965206447.9952,38675928253604.45,37041844882.0762,89793300718.0,220911207124.92,187837735532.0011,355691372776.6
10000042,Metropolis,280198689952314.6,312903103294.99506,270765120658101.75,309577358836.2046,710825815771.0,935285686607.21,1628585485886.633,8091597497467.081
10000013,Malpais,85177658922461.66,104488458710.6162,76173454637010.84,82764459906.73909,941809277051.0,179215011246.97,3942048409694.5977,358700145144.75006
10000016,Lonetrek,327828795533523.6,404450688449.1152,326135615312700.44,399731010905.165,566382840948.0,1108865104208.95,7554828030562.872,14708618086605.672
10000065,Kor-Azor,107995107853336.8,98804832473.37349,105976212543921.75,99770594018.1629,138321596254.0,409565090781.14,395443652584.6786,1544731432091.29
10000049,Khanid,105633700686256.56,74564021336.46999,93564389947418.95,69457170099.33801,88377506208.0,160758542112.51,260428772454.4321,505981527905.0001
10000052,Kador,110122479468875.66,98742474513.3669,114681310640136.34,111442673888.2363,240759477293.0,326113228425.29,861502920077.3181,882395103361.4601
10000009,Insmother,31471433895684.637,29398927813.3161,34531006122485.11,29570184744.9401,908895418727.0,435348706883.26,2567915138203.55,3992648716012.9106
10000031,Impass,8078005063521.453,5631430643.563001,6759843328021.452,5214372618.752,198645522456.0,100605927474.74,0.0,2219287614.3
10000025,Immensea,17773196119679.566,17421173258.1889,18763248743200.188,20739437645.3444,294236330145.0,471870857591.88,215918925024.3187,194745435438.34
10000030,Heimatar,207562510777930.56,266465845682.47906,209159695191606.03,266910865850.53632,252002325983.0,403121265753.95,2745605920480.3403,6747020686570.869
10000011,Great Wildlands,41423938913284.22,28945856176.485,41066386660850.19,28879813736.9392,37228693317.0,113761654466.05,178118792575.3804,31595191162.449997
10000067,Genesis,284746111337704.3,312118340766.0719,293212455271025.8,313316376647.6341,266097261685.0,796946966205.44,608618723672.3798,1856202137438.4695
10000029,Geminate,63347432928117.625,49104242052.150604,63388182291668.0,50438292401.7948,730850539645.0,393679336969.33,316301069845.0346,17588972648.97
10000058,Fountain,34245271236529.934,27591517028.063797,87031940276654.92,70156076509.0562,1400059943808.0,666779994670.6,2093052550041.4714,2169230494679.72
10000056,Feythabolis,17118419806998.285,30238475027.0482,19104164779885.414,32792479115.6577,425749413963.0,493750703841.89,115191557028.168,35850602897.11
10000046,Fade,24578757736467.71,22912107259.012997,25333864448412.504,21783139761.5228,360304473324.0,224412596611.2,4378627399097.637,164928304473.62
10000037,Everyshore,61408759411173.19,103886787137.4165,64903672535350.5,106887325235.74289,167670528986.0,198042187299.93,662230334724.2158,1647224781038.62
10000027,Etherium Reach,60213723875687.48,52429477995.6868,62830924487888.36,51592709313.0906,662969956014.0,484821794174.1,910110253339.2108,367371805343.38007
10000064,Essence,283861892509507.2,381234442265.1099,282930009898286.75,381037800046.7086,142850196783.0,537605099984.69,1076617532710.0801,3799905340403.2793
10000039,Esoteria,25645623774402.156,46444643743.4422,23537319483980.5,31557736334.3632,610851505392.0,702663834884.67,438441686077.1851,711336766857.2601
10000043,Domain,205388954829684.22,236328657972.23972,208358732381897.38,234625440249.8579,430608724327.0,765516583273.24,3072470516660.6885,38919237785760.59
10000036,Devoid,105589625704408.94,134303448519.62991,98950591254296.56,134166541584.0111,77530010377.0,148916973465.16,139469713119.6306,815342422861.22
10000005,Detorid,27409511723594.297,29780858237.047,26207816354947.18,27722960954.4375,698651594107.0,287638420676.69,1127826773392.491,11485251489.4
10000001,Derelik,134847853989565.8,161067930380.3262,116414291980043.12,160231514795.1636,136690113411.0,532290864209.88,633816318846.8857,1493099438875.36
10000060,Delve,154094463952358.03,159013890757.7317,147617916964769.53,146662236749.4814,2017646818447.0,1196943939563.48,12187183778840.764,12644081853642.61
10000035,Deklein,16305259039600.562,16232153399.9536,15533389511742.254,15202369279.805399,718752701743.0,278722545665.58,949653964546.2881,51139513029.990005
10000012,Curse,21692127163659.953,18904124431.2552,21385760115820.125,18259255681.0015,64260297422.0,380362348814.96,84978336200.6907,178725415310.59003
10000053,Cobalt Edge,8302770934434.477,3271743569.9792,8087459112295.398,3245035095.4197,297706868734.0,143513403987.45,351960682587.0983,27596003058.5
10000051,Cloud Ring,10228350919418.0,11222365618.3266,10045904433137.348,11072805231.0584,47048323474.0,105116717020.28,208057432484.513,1578593279.14
10000014,Catch,36112053055326.555,34591211582.2087,38866308213467.016,35617634901.8225,921162453007.0,484459213876.21,454884280777.7548,98897705724.96
10000007,Cache,9399149912729.69,8744077706.5324,8575401419506.09,8534790238.0248995,186844190141.0,123750198229.46,34798707579.5658,4413865470.0
10000055,Branch,8931882207195.143,6697221884.7675,8365933625634.605,6306045143.028,777229889441.0,236830623848.31,994307004902.3416,139119352365.53
10000069,Black Rise,42557775021610.695,51995042395.4942,38948101741215.34,52249552307.069405,68522552036.0,323358835078.52,561919647877.5784,192651215598.13995
10000054,Aridia,61767095209077.87,20889768730.597702,62354136408701.99,21492354383.325,92344859185.0,260943741218.3,166067236469.1504,950256639670.82
