region_id,region_name,exports,exports_m3,imports,imports_m3,npc_bounties,total_destroyed,total_production,trade_value,mining_value,moon_mining_value,loyalty_points
10000001,Derelik,154382637041384.22,188482580414.41632,142811209181632.9,185064205352.8648,89251263530.0,464317918745.84,454222630778.0562,1888987612880.5002,420277745278.19135,31620273.0,82416235.0
10000002,The Forge,393680857641588.6,491092007629.93463,662056735414907.8,632516990030.1892,414721652264.0,2038865842072.78,24664705644345.598,541093740051468.8,1293344072476.8416,65002917.0,277568873.0
10000003,Vale of the Silent,13937797210594.963,3949209630.8865,9162329930176.7,3881964511.3945,4720536265395.0,1295479136508.09,13906020073699.793,5920323692815.711,1110397693220.3237,366647916.0,0.0
10000005,Detorid,26475836982167.23,52784884389.2321,43809739080240.25,71563283715.3782,505529848536.0,496831898224.25,659659376307.1284,12682606411.570002,261487180902.97568,39973795.0,0.0
10000006,Wicked Creek,12734719248830.379,5388791044.8261,11825716122191.209,5756862781.6946,326014274926.0,634153219531.8,456043078369.5764,1168748235436.92,90296676083.67337,22777022.0,0.0
10000007,Cache,5559353296228.434,4492377855.5047,4522060682817.451,4111081928.7365,152293541284.0,163929399671.1,32873960036.2001,0.0,63826301462.0145,13055705.0,0.0
10000008,Scalding Pass,20746642478769.906,15207563590.2395,18561370359089.06,15207981790.012001,132425843207.0,446506912358.05,692560234989.2021,41142709192.159996,160440972900.33673,24393047.0,0.0
10000009,Insmother,35369015135385.555,48417050317.1409,37016590552825.73,51294638060.3057,600824100159.0,1084758776491.74,2245679293770.619,2622189717982.99,322129915863.5398,47856257.0,0.0
10000010,Tribute,15163019178734.848,12780708761.9276,14328992882529.07,9851375023.1996,1676870112399.0,638575320554.28,5185202485742.097,65975712857.759995,230930552347.86795,92759214.0,0.0
10000011,Great Wildlands,11418256316319.432,11529589716.5859,21186236172770.004,31313213678.5032,36457705077.0,249302564088.4,258750283893.0487,89933046211.61002,188445575333.55646,34871972.0,2210009.0
10000012,Curse,15194102477313.1,4041634145.2847,8522465552981.764,4207006634.1906996,72601340237.0,317038897498.04,110707211992.8635,100052450199.42998,63059149654.92617,6246990.0,287439036.0
10000013,Malpais,6335519028446.211,2799541760.5192003,8394082539327.463,2944379909.2476997,1241549299019.0,253295849449.37,3813903833995.9526,351795759099.34,651111084024.281,110130581.0,0.0
10000014,Catch,78625938699214.16,98303774600.8924,34640388220496.0,42865636358.518105,564668134789.0,418665641995.04,9938106030.3576,23836065132.02,84177619065.90767,10823801.0,0.0
10000015,Venal,14338109049806.121,12903064149.0553,12194805040976.97,11648740287.9537,580084719214.0,461426884465.51,77461114931.501,164941366245.12997,187995438977.43774,27727813.0,1399972292.0
10000016,Lonetrek,396287208176715.1,390608099306.0775,350550284948301.25,342660252291.4382,562850324507.0,1778895033064.82,8043101350412.16,21438027954886.21,1021006283034.2172,98047484.0,1119884846.0
10000018,The Spire,7478452377614.475,3526903390.8927,7344778607204.591,3113858907.0212,344756922813.0,76570426333.06,260707119013.1424,1553097530.0,286999033290.5165,26838542.0,0.0
10000020,Tash-Murkon,85276141762891.3,77738597867.151,85389291882635.69,80633837122.0405,142700669797.0,210110658792.43,746056551942.5073,3220403630639.7993,320934442298.13855,30074114.0,103321443.0
10000021,Outer Passage,1900776512306.1306,1020840277.3962001,1508503305661.3137,985629324.9897001,123733230195.0,51987364944.62,41886604965.241,0.0,258156730960.2767,25790468.0,0.0
10000022,Stain,3201592646953.5234,1425446133.5795,3403000106929.361,1356747058.578,240108383130.0,420916809784.3,623059474802.6241,158046458411.81,189692667584.93814,29001824.0,310580436.0
10000023,Pure Blind,14305624821496.076,9209646546.761002,12828638688364.969,6053529024.1482,934479764581.0,1565611795239.18,2259287806015.1816,749204440636.05,330358140943.1524,36058147.0,290045254.0
10000025,Immensea,6598353730404.599,7103961378.8019,7918216065279.935,7309664478.4517,299534390976.0,481861901317.21,322289697640.2215,113700904235.93999,180737933978.78857,25535345.0,0.0
10000027,Etherium Reach,31466109784653.26,46366012546.6817,36414173238818.38,43691693342.72569,665732261787.0,505921751754.56,1331720069443.0247,334561918547.54,576566920371.0745,106069824.0,0.0
10000028,Molden Heath,19634748405710.49,20347466531.817898,18511287484428.62,20292715796.8689,107245112052.0,538675460337.86,370275741993.546,938330197419.3702,301767767289.33624,12255583.0,293452791.0
10000029,Geminate,27292541743100.453,28277532122.9947,18168486284667.453,7505356462.0809,1122877716349.0,476616304354.49,891663151899.7032,21647436671.559998,154225036887.63647,43991870.0,0.0
10000030,Heimatar,238764831712383.1,297748635433.00183,247550385290813.0,303094337044.2355,189004515986.0,662743098984.06,7646087049888.413,9320833296911.121,446609562780.7612,82230239.0,221729555.0
10000031,Impass,2378182332966.288,2388707878.9535003,16145584681993.64,41352649166.005,439895010841.0,70676456351.55,20984312385.8928,25998358504.790005,43943171086.55179,11953959.0,0.0
10000032,Sinq Laison,323416110330315.8,336360045913.1308,257576584705602.03,300265825787.8172,294394684710.0,1311921430876.64,3968607057234.2583,17299914528271.008,827896965010.9478,125988142.0,224586336.0
10000033,The Citadel,551914751908596.4,639334768948.1976,479432428578246.0,603006161898.2251,364293280014.0,1674670239257.16,8981254877524.9,4690390588798.4795,542071809896.54767,159395633.0,198759067.0
10000034,The Kalevala Expanse,14680893128943.14,8670684853.5809,15796077150702.682,9174551133.1592,2181944418402.0,665807589927.19,2749199203720.263,30158318313.530006,892438528113.174,153575141.0,0.0
10000035,Deklein,6805263424666.682,3996303028.9469,6593474435807.117,4920700255.4664,990037585063.0,426077391694.82,1233273119591.524,61487524968.78,210040683495.8173,25129483.0,0.0
10000036,Devoid,140127918492472.8,180010639152.9561,142837744835260.9,182947878035.79608,52897595265.0,792114726584.63,170520827504.5192,1206696205283.85,151721397501.30594,11406632.0,67861569.0
10000037,Everyshore,58617022343043.14,99104340845.9255,58684441200934.65,99272222918.6382,183279235705.0,165569048505.6,1099077252213.659,2082116535906.57,526221968566.2604,44861794.0,161799413.0
10000038,The Bleak Lands,28044540433058.906,21837452150.9486,15925866484686.535,16477715126.6495,25697014468.0,306057319144.4,888235797365.5625,130827854768.74998,179236796723.436,122911491.0,137576927.0
10000039,Esoteria,10550752212410.918,9274280490.289001,9142288463193.13,6200321477.462999,297870932769.0,692532560277.9,388256095408.6899,259383249319.27,73624093754.83513,11411449.0,0.0
10000040,Oasa,4147457038734.817,2306852944.1063004,4729190591068.987,2340324033.7378,428892801900.0,159662783032.83,1720362958629.1284,0.0,474731139274.1532,56811561.0,0.0
10000041,Syndicate,7751899557614.953,3755776320.783,7777860242436.047,3489657839.1602,135866078892.0,1583520400003.4,1334506849036.2515,381583773892.00006,269838090030.21307,41407132.0,176734480.0
10000042,Metropolis,267535019050981.34,326248136551.1546,258171291512878.62,329943075949.1028,1289154155563.0,1269819333098.1,2098100658497.0571,12189860024710.197,903840035431.763,172843964.0,1533035551.0
10000043,Domain,215494741453156.16,230235488969.1523,209497496035879.28,231017915647.0047,299116419662.0,775225881315.46,3498322299945.9966,45102176083797.7,976297728590.2615,296720267.0,158756543.0
10000044,Solitude,4846239486882.455,1734047416.1887002,30348438582280.676,39686686856.5795,38020247031.0,182457268591.95,405469958318.0814,371637152255.2499,347139389879.9416,15004340.0,7556865.0
10000045,Tenal,3862127707073.296,2507483451.4414,4912667088044.96,3517678250.047,854466524538.0,253623367606.51,120603222363.4732,3675507599.01,134524042473.13474,21128245.0,0.0
10000046,Fade,7898365867494.472,4997386627.8101,9901607765570.225,5152162137.1986,885132118790.0,761008566998.58,3257780413361.7383,2330100071680.6006,217017010754.04126,19480378.0,0.0
10000047,Providence,15905905297107.307,7759399140.965701,5713951263165.027,4774156923.741,246351234396.0,432635808339.88,969244527566.9697,37276793487.21,69056797708.38808,6864246.0,0.0
10000048,Placid,33615183546730.934,35280187434.0857,32404007788741.406,34661304021.369,74395915732.0,992202096734.66,701957423217.1841,1139527211314.83,493777312376.9447,86209790.0,985940424.0
10000049,Khanid,51515227490778.984,33703912372.5542,49375584512675.47,33789356547.6879,55192528580.0,157051313437.44,142834594782.3357,1122592986204.0798,293976623729.18396,58911925.0,10341760.0
10000050,Querious,35813317861550.73,50231165261.1264,94084627440399.36,75056480679.7079,2391904102134.0,729089727865.38,1198258061505.2976,178312358353.47998,489288257800.0889,100609089.0,0.0
10000051,Cloud Ring,10466194818224.959,8014535984.2232,10520390033330.725,6538911544.409599,235775194975.0,507610319391.18,5630303518427.515,50719273003.96999,136970876607.76663,12525018.0,0.0
10000052,Kador,94360456685786.42,66847945809.0074,85859146674570.84,65711837451.90561,230428717419.0,285393193946.45,844928780029.5063,1085309847389.5701,339705233655.5559,47963072.0,138042903.0
10000053,Cobalt Edge,2111178595996.711,1310055737.859,2077489306693.5906,1218876146.4585,366849840391.0,137986149176.8,860797663805.8551,34595392652.0,744040255299.1327,60003354.0,0.0
10000054,Aridia,46508118610911.945,77710209649.8609,56684212943369.95,83207788382.0014,102146590647.0,463290221169.49,262054295764.3225,2581312677414.5693,674126266989.4337,33354664.0,319121632.0
10000055,Branch,3212107728364.8154,1836591818.5449998,2886202492832.669,1962975336.23,1632651267528.0,582458818573.43,1730537218452.1785,350783927017.18,255405187831.28748,46068251.0,0.0
10000056,Feythabolis,11854568894840.043,21361790578.7875,7938670709918.298,12065126643.9775,293498538134.0,436825597604.13,89017102461.4004,49875942316.189995,114514240410.60182,15211839.0,0.0
10000057,Outer Ring,2493497736907.868,881870626.2951999,1977057716373.273,920347298.5995001,50069987920.0,45807381987.75,411376582305.9777,307803613197.37,231326348747.89578,29282789.0,11930377.0
10000058,Fountain,21797751034564.99,38213189226.9512,15477026012857.316,13403968875.1675,2347560461310.0,781475476035.67,5439865396348.961,5011608470530.759,1399432283399.836,161606917.0,107388274.0
10000059,Paragon Soul,28914284970613.562,18324724555.776497,19982896708449.25,17771109271.5975,1151495288365.0,256295046155.0,1171130832520.988,344396539230.38,311305569120.65015,38234465.0,0.0
10000060,Delve,82456549718973.16,77395478994.5831,53603443809534.53,61148892357.575195,3656338688838.0,1538089663085.77,17696734282157.85,20144442090065.26,2137263377104.1838,351176324.0,449583436.0
10000061,Tenerifis,49823977356918.75,82011694434.9392,29988090066604.7,66906106806.422005,558398562330.0,1258863805299.14,198044881786.0567,86908189288.82,114571834055.46483,19168457.0,0.0
10000062,Omist,6239908180119.398,5613433257.7785,5476252005808.224,4988602655.5185,376879810592.0,418871311265.78,59981289554.981,19529725693.44,26498713021.46691,4504493.0,0.0
10000063,Period Basis,29384137216015.48,18164680028.472,32757846988027.043,18570247459.5002,681108463082.0,169653097322.12,28923800161.7213,7941215645.51,57145433984.46455,15410046.0,0.0
10000064,Essence,339109328462269.7,478472539670.0003,331605080809787.75,477283762667.9187,108806379929.0,445273623398.06,1510273215789.639,4211849562349.9,440983560412.48755,22476234.0,368011806.0
10000065,Kor-Azor,65208049489198.56,62345237988.627396,64108543827448.66,63017327956.954895,150480739692.0,181107455155.77,298007672212.4399,2079194813806.5503,324341510201.0803,19265776.0,29398744.0
10000066,Perrigen Falls,6018512221363.096,2921830900.2372,7833628287818.873,5956351300.1734,3008090834262.0,1232199056553.15,5914935344024.585,15662514006062.748,855567434547.5399,143471077.0,0.0
10000067,Genesis,247356591303185.62,344072157678.6075,217744404656750.3,323986894391.49817,194184101587.0,1172813484346.26,778146872221.3922,2854214521141.601,502013654140.9861,114639049.0,160412401.0
10000068,Verge Vendor,45718118457504.47,62497532009.207596,44893842276456.67,61779579198.5061,84980043691.0,200296290179.74,655762998602.231,2321212401128.9,219810994712.24094,28731308.0,101814731.0
10000069,Black Rise,39652182473814.836,31284384578.7043,34689412056899.344,32152351478.6247,92252969004.0,903764988307.13,2041324190621.0923,470941121562.54,320921743896.6905,20962095.0,42822545.0
10000070,Pochven,0.0,0.0,0.0,0.0,14378068.0,685641954660.79,24778710508.2072,65594241751.15001,259101247482.2395,79102.0,0.0
